date, pm25, o3, no2, so2, co
2024/11/1, 22, 16, 10, , 
2024/11/2, 13, 20, 9, , 
2024/11/3, 12, 23, 11, , 
2024/11/4, 22, 23, 9, , 
2024/11/5, 22, 20, 9, , 
2024/11/6, 23, 17, 9, , 
2024/11/7, 21, 17, 8, , 
2024/11/8, 32, 15, 9, , 
2024/11/9, 21, 13, 10, , 
2024/11/10, 30, 17, 7, , 
2024/11/11, 68, 19, 7, , 
2024/11/12, 24, 20, 11, , 
2024/11/13, 15, 19, 13, , 
2024/11/14, 27, 9, 21, , 
2024/11/15, 27, , , , 
2024/10/1, 25, 20, 9, , 
2024/10/2, 19, 28, 16, , 
2024/10/3, 28, 19, 15, , 
2024/10/4, 31, 27, 8, , 
2024/10/5, 25, 28, 2, , 
2024/10/6, 12, 21, 5, , 
2024/10/7, 19, 16, 9, , 
2024/10/8, 20, 12, 11, , 
2024/10/9, 20, 9, 9, , 
2024/10/10, 15, 32, 13, , 
2024/10/11, 21, 20, 5, , 
2024/10/12, 23, 21, 6, , 
2024/10/13, 13, 15, 4, , 
2024/10/14, 8, 15, 8, , 
2024/10/15, 17, 13, 9, , 
2024/10/16, 26, 16, 15, , 
2024/10/17, 24, 25, 20, , 
2024/10/18, 38, 31, 19, , 
2024/10/19, 57, 37, 12, , 
2024/10/20, 47, 29, 18, , 
2024/10/21, 48, 38, 19, , 
2024/10/22, 54, 34, 8, , 
2024/10/23, 43, 13, 9, , 
2024/10/24, 17, 17, 17, , 
2024/10/25, 32, 20, 8, , 
2024/10/26, 18, 9, 14, , 
2024/10/27, 14, 20, 6, , 
2024/10/28, 18, 13, 17, , 
2024/10/29, 28, 29, 9, , 
2024/10/30, 49, 25, 9, , 
2024/10/31, 42, 20, 5, , 
2024/7/1, 12, 22, 16, , 
2024/7/2, 51, 39, 10, , 
2024/7/3, 36, 29, 18, , 
2024/7/4, 51, 26, 10, , 
2024/7/5, 46, 34, 12, , 
2024/7/6, 46, 35, 8, , 
2024/7/7, 34, 38, 10, , 
2024/7/8, 34, 41, 11, , 
2024/7/9, 46, 26, 8, , 
2024/7/10, 31, 22, 7, , 
2024/7/11, 19, 24, 11, , 
2024/7/12, 41, 33, 13, , 
2024/7/13, 52, 38, 9, , 
2024/7/14, 45, 30, 10, , 
2024/7/15, 36, 30, 13, , 
2024/7/16, 55, 25, 9, , 
2024/7/17, 59, 17, 4, , 
2024/7/18, 20, 29, 9, , 
2024/7/19, 17, 26, 12, , 
2024/7/20, 31, 43, 11, , 
2024/7/21, 43, 25, 10, , 
2024/7/22, 21, 34, 13, , 
2024/7/23, 38, 28, 8, , 
2024/7/24, 52, 19, 6, , 
2024/7/25, 22, 26, 10, , 
2024/7/26, 33, 34, 10, , 
2024/7/27, 39, 25, 10, , 
2024/7/28, 48, 28, 14, , 
2024/7/29, 55, 29, 10, , 
2024/7/30, 50, 24, 10, , 
2024/7/31, 49, 29, 14, , 
2024/8/1, 67, 32, 14, , 
2024/8/2, 42, 28, 9, , 
2024/8/3, 45, 25, 6, , 
2024/8/4, 47, 26, 8, , 
2024/8/5, 49, 12, 7, , 
2024/8/6, 24, 14, 9, , 
2024/8/7, 16, 17, 9, , 
2024/8/8, 22, 21, 7, , 
2024/8/9, 22, 20, 6, , 
2024/8/10, 20, 19, 4, , 
2024/8/11, 16, 15, 7, , 
2024/8/12, 31, 17, 11, , 
2024/8/13, 41, 24, 13, , 
2024/8/14, 39, 38, 13, , 
2024/8/15, 57, 30, 13, , 
2024/8/16, 58, 27, 8, , 
2024/8/17, 32, 28, 5, , 
2024/8/18, 26, 16, 3, , 
2024/8/19, 24, 19, 4, , 
2024/8/20, 20, 17, 6, , 
